id,name,type,nationality,team,debut_year,last_year,active,birth_year,country,region
mm82,Maciej Maciusiak,2,Polish,AZS AWF Katowice,2025,NA,no,1982,NA,NA
jt,Jan Tanczos,2,Czech,NA,2002,2012,no,1955,NA,NA
af62,Andreas Felder,2,Austrian,HSV Absam,1995,2020,no,1962,NA,NA
hmt,Hideharu Miyahira Trainer,2,Japanese,Otaru Ski Association,2018,2022,no,1973,NA,NA
sh69t,Stefan Horngacher Trainer,2,Austrian,SC Woergl,2016,NA,no,1969,NA,NA
mb,Magnus Brevig,2,Norwegian,NA,2024,2025,no,1983,NA,NA
v_kitanoconstruction,Kitano Construction Corp Ski Team,3,NA,NA,NA,NA,NA,NA,Japan,Nagano
v_tsuchiya,Tsuchiya Home Ski Team,3,NA,NA,NA,NA,NA,NA,Japan,Hokkaido
v_innsbruck,SV Innsbruck Bergisel,3,NA,NA,NA,NA,NA,NA,Austria,Tirol
v_zakopane_wisla,TS Wisla Zakopane,3,NA,NA,NA,NA,NA,NA,Poland,Kleinpolen
v_kranj,SK Triglav Kranj,3,NA,NA,NA,NA,NA,NA,Slovenia,Oberkrain
v_moskau,GBU TSOVS Moskovskaya obl MBU SSHOR,3,NA,NA,NA,NA,NA,NA,Russia,Zentralrussland
v_zakopane_eve,KS Eve nement Zakopane,3,NA,NA,NA,NA,NA,NA,Poland,Kleinpolen
v_raelingen,Raelingen SK,3,NA,NA,NA,NA,NA,NA,Norway,Akershus
v_leninogorsk,MBU DO Sshor Leninogorsk,3,NA,NA,NA,NA,NA,NA,Russia,Wolga
v_ljubno,SSK Ljubno BTC,3,NA,NA,NA,NA,NA,NA,Slovenia,Oberkrain
v_schwarzach,SV Schwarzach,3,NA,NA,NA,NA,NA,NA,Austria,Pongau
v_oberaudorf,WSV Oberaudorf,3,NA,NA,NA,NA,NA,NA,Germany,Chiemgau
v_kiteen,Kiteen Urheilijat,3,NA,NA,NA,NA,NA,NA,Finland,Nordkarelien
v_menges,SSK Menges,3,NA,NA,NA,NA,NA,NA,Slovenia,Zentralslowenien
v_seekirchen,SC Seekirchen,3,NA,NA,NA,NA,NA,NA,Austria,Flachgau
v_oberstdorf,SC Oberstdorf,3,NA,NA,NA,NA,NA,NA,Germany,Allgaeu
v_woergl,SC Woergl,3,NA,NA,NA,NA,NA,NA,Austria,Tirol
v_stjohann,SC St Johann,3,NA,NA,NA,NA,NA,NA,Austria,Tirol
v_velenje,SSK Velenje,3,NA,NA,NA,NA,NA,NA,Slovenia,Savinjska
v_jablonec,SKP Jablonec,3,NA,NA,NA,NA,NA,NA,Czech Republic,Reichenberger Region
v_otaru,Otaru Ski Association,3,NA,NA,NA,NA,NA,NA,Japan,Hokkaido
v_puijon,Puijon Hiihtoseura,3,NA,NA,NA,NA,NA,NA,Finland,Nordsavo
v_ruhpolding,SC Ruhpolding,3,NA,NA,NA,NA,NA,NA,Germany,Chiemgau
v_tromsoe,Tromsoe SK,3,NA,NA,NA,NA,NA,NA,Norway,Nordnorwegen
v_soere,Soere Al IL,3,NA,NA,NA,NA,NA,NA,Norway,Lillehammer
v_kongsberg,Kongsberg IF,3,NA,NA,NA,NA,NA,NA,Norway,Viken
v_siegsdorf,TSV Siegsdorf,3,NA,NA,NA,NA,NA,NA,Germany,Alpenvorland
v_toggenburg,SSC Toggenburg,3,NA,NA,NA,NA,NA,NA,Switzerland,Toggenburg
v_nsa,NSA,3,NA,NA,NA,NA,NA,NA,Bulgaria,Oblast Sofia Stadt
v_sprova,Sprova IL,3,NA,NA,NA,NA,NA,NA,Norway,Troendelag
v_villach,SV Villach,3,NA,NA,NA,NA,NA,NA,Austria,Oberkaerntner Raum
v_ljubljana,SSK Ilirija Ljubljana,3,NA,NA,NA,NA,NA,NA,Slovenia,Zentralslowenien
v_steinkjer,Steinkjer SK,3,NA,NA,NA,NA,NA,NA,Norway,Troendelag
v_hinzenbach,UVB Hinzenbach,3,NA,NA,NA,NA,NA,NA,Austria,Eferdinger Land‑Region
v_zakopane_azs,AZS Zakopane,3,NA,NA,NA,NA,NA,NA,Poland,Kleinpolen
v_ihan,SSK Sam Ihan,3,NA,NA,NA,NA,NA,NA,Slovenia,Zentralslowenien
v_hinterzarten,SC Hinterzarten,3,NA,NA,NA,NA,NA,NA,Germany,Schwarzwald
v_ounasvaara,Ounasvaaran Hiihtoseura,3,NA,NA,NA,NA,NA,NA,Finland,Lappland
v_zakopane_wks,WKS Zakopane,3,NA,NA,NA,NA,NA,NA,Poland,Kleinpolen
v_wisla,KS Wisla Ustronianka,3,NA,NA,NA,NA,NA,NA,Poland,Schlesien
v_rastbuechl,WSV DJK Rastbuechl,3,NA,NA,NA,NA,NA,NA,Germany,Bayerischer Wald
v_ringkollen,Ringkollen SK,3,NA,NA,NA,NA,NA,NA,Norway,Buskerud
v_furtwangen,SC Furtwangen,3,NA,NA,NA,NA,NA,NA,Germany,Schwarzwald
v_asker,Asker SK,3,NA,NA,NA,NA,NA,NA,Norway,Akershus
v_bystra,LKS Klimczok Bystra,3,NA,NA,NA,NA,NA,NA,Poland,Schlesien
v_lahden,Lahden Hiihtoseura,3,NA,NA,NA,NA,NA,NA,Finland,Paeijaet-Haeme
v_bischofshofen,SC Bischofshofen,3,NA,NA,NA,NA,NA,NA,Austria,Pongau
v_achomitz,SV Achomitz Zahomc,3,NA,NA,NA,NA,NA,NA,Austria,Oberkaerntner Raum
v_kitzbuehel,Kitzbueheler Ski Club,3,NA,NA,NA,NA,NA,NA,Austria,Tirol
v_wisla_wss,WSS Wisla,3,NA,NA,NA,NA,NA,NA,Poland,Schlesien
v_rateceplanica,Nd Ratece planica,3,NA,NA,NA,NA,NA,NA,Slovenia,Oberkrain
v_kiefersfelden,WSV Kiefersfelden,3,NA,NA,NA,NA,NA,NA,Germany,Oberbayrische Alpenregion
v_mayrhofen,SC Mayrhofen,3,NA,NA,NA,NA,NA,NA,Austria,Tirol
v_valledejoux,Vallee de Joux,3,NA,NA,NA,NA,NA,NA,Switzerland,Jura Gebirge
v_willingen,SC Willingen,3,NA,NA,NA,NA,NA,NA,Germany,Sauerland
v_lommedalen,Lommedalen IL,3,NA,NA,NA,NA,NA,NA,Norway,Akershus
v_horw,Skiclub Horw,3,NA,NA,NA,NA,NA,NA,Switzerland,Zentralschweiz
v_brand,SC Brand,3,NA,NA,NA,NA,NA,NA,Austria,Brandnertal
v_kuusamo,Kuusamon Erae Veikot,3,NA,NA,NA,NA,NA,NA,Finland,Nordoesterbotten
v_aue,SG Nickelhuette Aue,3,NA,NA,NA,NA,NA,NA,Germany,Erzgebirge
v_taku,Team Taku,3,NA,NA,NA,NA,NA,NA,Japan,Nagano
v_leshouches,Ski Club Les Houches,3,NA,NA,NA,NA,NA,NA,France,Auvergne-Rhone-Alpes
v_fiammegialle,GS Fiamme Gialle,3,NA,NA,NA,NA,NA,NA,Italy,Trentino
v_badmitterndorf,WSC Bad Mitterndorf,3,NA,NA,NA,NA,NA,NA,Austria,Salzkammergut
v_snowbrand,Megmilk Snow Brand,3,NA,NA,NA,NA,NA,NA,Japan,Hokkaido
v_waldzell,SC Waldzell,3,NA,NA,NA,NA,NA,NA,Austria,Innviertel
v_einsiedeln,SC Einsiedeln,3,NA,NA,NA,NA,NA,NA,Switzerland,Zentralschweiz
v_lomnice,LSK Lomnice nad Popelkou,3,NA,NA,NA,NA,NA,NA,Czech Republic,Reichenberger Region
v_liberec,TJ Dukla Liberec,3,NA,NA,NA,NA,NA,NA,Czech Republic,Reichenberger Region
v_magadan,Osvsm Magadan,3,NA,NA,NA,NA,NA,NA,Russia,Magadan
v_oberhof,WSV Oberhof 05,3,NA,NA,NA,NA,NA,NA,Germany,Thueringer Wald
v_orkdal,Orkdal IL,3,NA,NA,NA,NA,NA,NA,Norway,Troendelag
v_byaasen,Byaasen IL,3,NA,NA,NA,NA,NA,NA,Norway,Troendelag
v_mizuno,Mizuno,3,NA,NA,NA,NA,NA,NA,Japan,Kansai
v_rollag,Rollag Veggli,3,NA,NA,NA,NA,NA,NA,Norway,Buskerud
v_oevrevoll,Oevrevoll Hosle IL,3,NA,NA,NA,NA,NA,NA,Norway,Akershus
v_eldar,Eldar IL,3,NA,NA,NA,NA,NA,NA,Norway,Vestland
v_fitski,Fit Ski,3,NA,NA,NA,NA,NA,NA,Japan,Nagano
v_ufa,Lokomotiva,3,NA,NA,NA,NA,NA,NA,Russia,Zentralrussland
v_jyvaeskylaen,Jyvaeskylaen Hiihtoseura,3,NA,NA,NA,NA,NA,NA,Finland,Mittelfinnland
v_lauscha,WSV 08 Lauscha,3,NA,NA,NA,NA,NA,NA,Germany,Suedthueringen
v_flyinglaboratory,Flying Laboratory SC,3,NA,NA,NA,NA,NA,NA,Japan,Hokkaido
v_alaskajumping,Alaska Jumping Club,3,NA,NA,NA,NA,NA,NA,United States of America,Alaska
v_dolomiti,SK Dolomiti Ljubljana,3,NA,NA,NA,NA,NA,NA,Slovenia,Zentralslowenien
v_katowice,AZS AWF Katowice,3,NA,NA,NA,NA,NA,NA,Poland,Schlesien
v_absam,HSV Absam,3,NA,NA,NA,NA,NA,NA,Austria,Tirol
v_fersped,SSK Ilirija Fersped,3,NA,NA,NA,NA,NA,NA,Slovenia,Zentralslowenien
v_hornindal,Hornindal IL,3,NA,NA,NA,NA,NA,NA,Norway,More og Romsdal
v_kleinwalsertal,SV Kleinwalsertal,3,NA,NA,NA,NA,NA,NA,Austria,Kleinwalsertal
aut,Austria,4,NA,NA,NA,NA,NA,NA,NA,NA
sui,Switzerland,4,NA,NA,NA,NA,NA,NA,NA,NA
pol,Poland,4,NA,NA,NA,NA,NA,NA,NA,NA
ger,Germany,4,NA,NA,NA,NA,NA,NA,NA,NA
fin,Finland,4,NA,NA,NA,NA,NA,NA,NA,NA
cze,Czech Republic,4,NA,NA,NA,NA,NA,NA,NA,NA
rus,Russia,4,NA,NA,NA,NA,NA,NA,NA,NA
jpn,Japan,4,NA,NA,NA,NA,NA,NA,NA,NA
ita,Italy,4,NA,NA,NA,NA,NA,NA,NA,NA
nor,Norway,4,NA,NA,NA,NA,NA,NA,NA,NA
fra,France,4,NA,NA,NA,NA,NA,NA,NA,NA
slo,Slovenia,4,NA,NA,NA,NA,NA,NA,NA,NA
bul,Bulgaria,4,NA,NA,NA,NA,NA,NA,NA,NA
usa,United States of America,4,NA,NA,NA,NA,NA,NA,NA,NA
wc25,World Championship 2025,5,NA,NA,NA,NA,NA,NA,NA,NA
wc23,World Championship 2023,5,NA,NA,NA,NA,NA,NA,NA,NA
wc21,World Championship 2021,5,NA,NA,NA,NA,NA,NA,NA,NA
wc19,World Championship 2019,5,NA,NA,NA,NA,NA,NA,NA,NA
wc17,World Championship 2017,5,NA,NA,NA,NA,NA,NA,NA,NA
wc15,World Championship 2015,5,NA,NA,NA,NA,NA,NA,NA,NA
wc13,World Championship 2013,5,NA,NA,NA,NA,NA,NA,NA,NA
wc11,World Championship 2011,5,NA,NA,NA,NA,NA,NA,NA,NA
wc09,World Championship 2009,5,NA,NA,NA,NA,NA,NA,NA,NA
wc07,World Championship 2007,5,NA,NA,NA,NA,NA,NA,NA,NA
wc05,World Championship 2005,5,NA,NA,NA,NA,NA,NA,NA,NA
wc03,World Championship 2003,5,NA,NA,NA,NA,NA,NA,NA,NA
wc01,World Championship 2001,5,NA,NA,NA,NA,NA,NA,NA,NA
oly22,Olympische Winterspiele 2022,5,NA,NA,NA,NA,NA,NA,NA,NA
oly18,Olympische Winterspiele 2018,5,NA,NA,NA,NA,NA,NA,NA,NA
oly14,Olympische Winterspiele 2014,5,NA,NA,NA,NA,NA,NA,NA,NA
oly10,Olympische Winterspiele 2010,5,NA,NA,NA,NA,NA,NA,NA,NA
oly06,Olympische Winterspiele 2006,5,NA,NA,NA,NA,NA,NA,NA,NA
oly02,Olympische Winterspiele 2002,5,NA,NA,NA,NA,NA,NA,NA,NA
r_nagano,Nagano,6,NA,NA,NA,NA,NA,NA,Japan,NA
r_hokkaido,Hokkaido,6,NA,NA,NA,NA,NA,NA,Japan,NA
r_tirol,Tirol,6,NA,NA,NA,NA,NA,NA,Austria,NA
r_kleinpolen,Kleinpolen,6,NA,NA,NA,NA,NA,NA,Poland,NA
r_oberkrain,Oberkrain,6,NA,NA,NA,NA,NA,NA,Slovenia,NA
r_zentralrussland,Zentralrussland,6,NA,NA,NA,NA,NA,NA,Russia,NA
r_akershus,Akershus,6,NA,NA,NA,NA,NA,NA,Norway,NA
r_wolga,Wolga,6,NA,NA,NA,NA,NA,NA,Russia,NA
r_pongau,Pongau,6,NA,NA,NA,NA,NA,NA,Austria,NA
r_chiemgau,Chiemgau,6,NA,NA,NA,NA,NA,NA,Germany,NA
r_nordkarelien,Nordkarelien,6,NA,NA,NA,NA,NA,NA,Finland,NA
r_zentralslowenien,Zentralslowenien,6,NA,NA,NA,NA,NA,NA,Slovenia,NA
r_flachgau,Flachgau,6,NA,NA,NA,NA,NA,NA,Austria,NA
r_allgaeu,Allgaeu,6,NA,NA,NA,NA,NA,NA,Germany,NA
r_savinjska,Savinjska,6,NA,NA,NA,NA,NA,NA,Slovenia,NA
r_reichenbergerregion,Reichenberger Region,6,NA,NA,NA,NA,NA,NA,Czech Republic,NA
r_nordsavo,Nordsavo,6,NA,NA,NA,NA,NA,NA,Finland,NA
r_nordnorwegen,Nordnorwegen,6,NA,NA,NA,NA,NA,NA,Norway,NA
r_lillehammer,Lillehammer,6,NA,NA,NA,NA,NA,NA,Norway,NA
r_viken,Viken,6,NA,NA,NA,NA,NA,NA,Norway,NA
r_alpenvorland,Alpenvorland,6,NA,NA,NA,NA,NA,NA,Germany,NA
r_toggenburg,Toggenburg,6,NA,NA,NA,NA,NA,NA,Switzerland,NA
r_oblastsofiastadt,Oblast Sofia Stadt,6,NA,NA,NA,NA,NA,NA,Bulgaria,NA
r_troendelag,Troendelag,6,NA,NA,NA,NA,NA,NA,Norway,NA
r_oberkaerntnerraum,Oberkaerntner Raum,6,NA,NA,NA,NA,NA,NA,Austria,NA
r_eferdingerlandregion,Eferdinger Land Region,6,NA,NA,NA,NA,NA,NA,Austria,NA
r_schwarzwald,Schwarzwald,6,NA,NA,NA,NA,NA,NA,Germany,NA
r_lappland,Lappland,6,NA,NA,NA,NA,NA,NA,Finland,NA
r_schlesien,Schlesien,6,NA,NA,NA,NA,NA,NA,Poland,NA
r_bayerischerwald,Bayerischer Wald,6,NA,NA,NA,NA,NA,NA,Germany,NA
r_buskerud,Buskerud,6,NA,NA,NA,NA,NA,NA,Norway,NA
r_paeijaethaeme,Paeijaet-Haeme,6,NA,NA,NA,NA,NA,NA,Finland,NA
r_oberbayrischealpenregion,Oberbayrische Alpenregion,6,NA,NA,NA,NA,NA,NA,Germany,NA
r_juragebirge,Jura Gebirge,6,NA,NA,NA,NA,NA,NA,Switzerland,NA
r_sauerland,Sauerland,6,NA,NA,NA,NA,NA,NA,Germany,NA
r_zentralschweiz,Zentralschweiz,6,NA,NA,NA,NA,NA,NA,Switzerland,NA
r_brandnertal,Brandnertal,6,NA,NA,NA,NA,NA,NA,Austria,NA
r_nordoesterbotten,Nordoesterbotten,6,NA,NA,NA,NA,NA,NA,Finland,NA
r_erzgebirge,Erzgebirge,6,NA,NA,NA,NA,NA,NA,Germany,NA
r_auvergnerhonealpes,Auvergne-Rhone-Alpes,6,NA,NA,NA,NA,NA,NA,France,NA
r_trentino,Trentino,6,NA,NA,NA,NA,NA,NA,Italy,NA
r_salzkammergut,Salzkammergut,6,NA,NA,NA,NA,NA,NA,Austria,NA
r_innviertel,Innviertel,6,NA,NA,NA,NA,NA,NA,Austria,NA
r_magadan,Magadan,6,NA,NA,NA,NA,NA,NA,Russia,NA
r_thueringerwald,Thueringer Wald,6,NA,NA,NA,NA,NA,NA,Germany,NA
r_kansai,Kansai,6,NA,NA,NA,NA,NA,NA,Japan,NA
r_vestland,Vestland,6,NA,NA,NA,NA,NA,NA,Norway,NA
r_mittelfinnland,Mittelfinnland,6,NA,NA,NA,NA,NA,NA,Finland,NA
r_suedthueringen,Suedthueringen,6,NA,NA,NA,NA,NA,NA,Germany,NA
r_alaska,Alaska,6,NA,NA,NA,NA,NA,NA,United States of America,NA
r_moreogromsdal,More og Romsdal,6,NA,NA,NA,NA,NA,NA,Norway,NA
r_kleinwalsertal,Kleinwalsertal,6,NA,NA,NA,NA,NA,NA,Austria,NA
